E1,E2,E3,E4
0.0002139163661853009,0.0002686364892148963,0.00038236608521573055,1.0692530145814545e-05
0.00021408030264664324,0.0002688426301501951,0.00038265865872540996,1.0699978348988918e-05
0.0002142422094346289,0.00026904622107317203,0.00038294760619246105,1.070732830670615e-05
0.00021440211017913918,0.0002692472916481061,0.000383232969871048,1.0714581227791753e-05
0.0002145600282675177,0.00026944587123502894,0.00038351479158126197,1.072173830802892e-05
0.00021471598684630745,0.00026964198889190173,0.0003837931127122342,1.0728800730257954e-05
0.00021487000882299505,0.0002698356733768013,0.00038406797422526083,1.0735769664476005e-05
0.0002150221168677617,0.0002700269531501146,0.00038433941665694086,1.0742646267937074e-05
0.00021517233341524023,0.0002702158563767402,0.0003846074801223234,1.074943168525224e-05
0.00021532068066627694,0.00027040241092829713,0.0003848722043180644,1.0756127048490093e-05
0.00021546718058969815,0.0002705866443853385,0.0003851336285255921,1.0762733477277309e-05
0.00021561185492408082,0.00027076858403957073,0.0003853917916142787,1.076925207889937e-05
0.00021575472517952642,0.0002709482568960769,0.0003856467320446185,1.0775683948401364e-05
0.00021589581263943748,0.00027112568967554344,0.00038589848787141056,1.078203016868885e-05
0.00021603513836229628,0.00027130090881648933,0.0003861470967469452,1.078829181062877e-05
0.0002161727231834453,0.0002714739404774982,0.0003863925959241936,1.0794469933150345e-05
0.0002163085877168688,0.00027164481053945064,0.00038663502225999916,1.0800565583345953e-05
0.0002164427523569745,0.0002718135446077584,0.00038687441221826966,1.0806579796571973e-05
0.00021657523728037622,0.0002719801680145979,0.0003871108018731699,1.081251359654952e-05
0.00021670606244767523,0.00027214470582114365,0.00038734422691231297,1.0818367995465108e-05
0.00021683524760524113,0.0002723071828198005,0.0003875747226399506,1.0824143994071161e-05
0.00021696281228699145,0.0002724676235364343,0.00038780232398016065,1.0829842581786393e-05
0.0002170887758161695,0.0002726260522326004,0.0003880270654800315,1.0835464736795995e-05
0.0002172131573071197,0.00027278249290776913,0.0003882489813128425,1.0841011426151639e-05
0.0002173359756670609,0.00027293696930154874,0.0003884681052812399,1.0846483605871267e-05
0.00021745724959785606,0.00027308950489590396,0.0003886844708204069,1.0851882221038622e-05
0.00021757699759777926,0.00027324012291737073,0.00038889811100122854,1.0857208205902553e-05
0.00021769523796327849,0.00027338884633926636,0.00038910905853344903,1.0862462483976009e-05
0.00021781198879073445,0.0002735356978838942,0.0003893173457688222,1.086764596813477e-05
0.00021792726797821539,0.00027368070002474325,0.0003895230047042538,1.0872759560715836e-05
0.00021804109322722643,0.00027382387498868185,0.00038972606698493573,1.0877804153615516e-05
0.00021815348204445466,0.00027396524475814456,0.00038992656390747065,1.088278062838714e-05
0.0002182644517435082,0.00027410483107331304,0.000390124526422987,1.0887689856338442e-05
0.0002183740194466502,0.0002742426554342895,0.0003903199851402446,1.0892532698628535e-05
0.00021848220208652643,0.00027437873910326257,0.0003905129703287286,1.0897310006364521e-05
0.00021858901640788698,0.000274513103106666,0.00039070351192173303,1.0902022620697684e-05
0.0002186944789693015,0.00027464576823732874,0.0003908916395194327,1.0906671372919254e-05
0.00021879860614486762,0.00027477675505661707,0.0003910773823919426,1.0911257084555771e-05
0.00021890141412591251,0.00027490608389656764,0.00039126076948236524,1.091578056746397e-05
0.00021900291892268728,0.000275033774862012,0.00039144182940982546,1.0920242623925239e-05
0.00021910313636605398,0.0002751598478326916,0.0003916205904724911,1.0924644046739596e-05
0.00021920208210916508,0.0002752843224653633,0.0003917970806505808,1.092898561931919e-05
0.0002192997716291351,0.00027540721819589546,0.0003919713276093578,1.0933268115781327e-05
0.00021939622022870415,0.00027552855424135337,0.00039214335870210856,1.0937492301040983e-05
0.00021949144303789358,0.00027564834960207545,0.00039231320097310804,1.0941658930902823e-05
