E1,E2,E3,E4,P1,P2,P3,P4
0.00011671196506915689,0.00015845980361549677,0.00021733085753787186,-8.163482858047858e-06,0.0015605555107538582,0.0010434015964980155,0.0005078557061296056,0.0012697497130005095
0.00011755545443709808,0.00015955965893597385,0.0002188834420398387,-8.167394160714184e-06,0.0015709772578863792,0.0010505376256703777,0.000511518154536157,0.001278204232371076
0.00011839190711979837,0.00016065017203629637,0.0002204231525232108,-8.171054070312277e-06,0.0015813085860395385,0.0010576127610516625,0.0005151505787413307,0.001286584094094918
0.0001192213237624661,0.0001617313531688621,0.00022194999289692978,-8.174474105313151e-06,0.0015915496810693331,0.001064627089815173,0.0005187529807822793,0.001294889454611009
0.00012004370695683348,0.00016280321481498933,0.00022346397045499094,-8.177665426222362e-06,0.0016017007472196852,0.0010715807127846541,0.0005223253707999745,0.0013031204857578283
0.00012085906117845727,0.00016386577160964035,0.00022496509576702014,-8.180638842806686e-06,0.001611762006464532,0.001078473743965922,0.0005258677667797222,0.0013112773742231128
0.0001216673927253612,0.0001649190402678821,0.00022645338257124486,-8.183404821319474e-06,0.0016217336978663456,0.0010853063100896186,0.0005293801942972875,0.0013193603210071786
0.00012246870965800376,0.0001659630395130568,0.00022792884766982617,-8.185973491715315e-06,0.0016316160769507496,0.0010920785501648993,0.0005328626862705546,0.0013273695408995544
0.00012326302174055532,0.00016699779000663287,0.00022939151082651885,-8.188354654845337e-06,0.0016414094150968893,0.001098790615043841,0.0005363152827166536,0.0013353052619686444
0.00012405034038346776,0.0001680233142797085,0.00023084139466662509,-8.190557789625059e-06,0.001651113998943233,0.001105442666996381,0.0005397380305144689,0.0013431677250641642
0.00012483067858731992,0.00016903963666613933,0.00023227852457921014,-8.192592060167249e-06,0.0016607301298084756,0.001112034879295583,0.000543130983172466,0.0013509571833320853
0.0001256040508879211,0.00017004678323726227,0.00023370292862154345,-8.19446632287286e-06,0.001670258123127227,0.0011185674358130354,0.0005464942006017483,0.0013586739017418343
0.0001263704733026556,0.00017104478173818671,0.00023511463742573372,-8.196189133473566e-06,0.0016796983079001688,0.001125040530624195,0.0005498277488942761,0.0013663181566254928
0.00012712996327805074,0.000172033661525627,0.00023651368410752192,-8.197768754019936e-06,0.001689051026158379,0.0011314543676234712,0.0005531317001061652,0.001373890235228748
0.00012788253963855021,0.00017301345350724642,0.0002379001041771996,-8.199213159809801e-06,0.001698316632441511,0.001137809160148882,0.000556406132045989,0.001381390435273354
0.00012862822253647524,0.0001739841900824872,0.0002392739354526167,-8.2005300462517e-06,0.0017074954932895386,0.0011441051306160751,0.0005596511280680074,0.001388819064530856
0.00012936703340315535,0.0001749459050848578,0.00024063521797424724,-8.20172683565884e-06,0.0017165879867477726,0.0011503425101615458,0.0005628667768702415,0.0013961764404073515
0.00013009899490121107,0.00017589863372565205,0.00024198399392227554,-8.202810683969284e-06,0.0017255945018848546,0.0011565215382948603,0.0005660531722973202,0.001403462889539042
0.0001308241308779695,0.00017684241253907175,0.00024332030753567173,-8.203788487388536e-06,0.0017345154383234592,0.0011626424625597088,0.0005692104131480153,0.0014106787473983596
0.0001315424663199958,0.0001777772793287278,0.0002446442050332212,-8.204666888951024e-06,0.0017433512057834178,0.0011687055382036135,0.000572338602987392,0.0014178243579104346
0.00013225402730872158,0.00017870327311549262,0.0002459557345364746,-8.205452284997296e-06,0.0017521022236369926,0.0011747110278561102,0.0005754378499634945,0.0014249000730796857
0.00013295884097715223,0.0001796204340866784,0.00024725494599458543,-8.206150831564082e-06,0.0017607689204760418,0.0011806592012152417,0.0005785082666284896,0.0014319062526263187
0.0001336569354676352,0.00018052880354651535,0.0002485418911109997,-8.20676845068467e-06,0.0017693517336908023,0.0011865503347421832,0.0005815499697641898,0.0014388432636325142
0.00013434833989067093,0.00018142842386790475,0.000249816623271967,-8.207310836597343e-06,0.0017778511090600446,0.0011923847113638382,0.0005845630802118823,0.0014457114801980973
0.00013503308428474832,0.00018231933844542136,0.0002510791974768386,-8.207783461859834e-06,0.0017862675003523384,0.0011981626201832388,0.0005875477227063831,0.0014525112831054844
0.00013571119957718724,0.00018320159164954112,0.0002523296702701198,-8.208191583368095e-06,0.0017946013689381854,0.0012038843561975902,0.0005905040257142429,0.0014592430594937045
0.00013638271754596942,0.00018407522878206855,0.00025356809967524367,-8.208540248277826e-06,0.0018028531834127772,0.0012095502200237943,0.0005934321212760277,0.0014659072025412895
0.00013704767078254017,0.00018494029603274067,0.0002547945451300358,-8.208834299827481e-06,0.0018110234192291368,0.001215160517631302,0.0005963321448526021,0.0014725041111578504
0.00013770609265556383,0.00018579684043698355,0.0002560090674238352,-8.209078383061684e-06,0.00181911255834141,0.0012207155600821328,0.000599204235175334,0.0014790341896841347
0.00013835801727561442,0.00018664490983479677,0.00025721172863624203,-8.209276950454134e-06,0.0018271210888580831,0.0012262156632779127,0.0006020485341001558,0.0014854978476003856
0.0001390034794607845,0.00018748455283074423,0.00025840259207745984,-8.209434267429341e-06,0.0018350495047048908,0.0012316611477137843,0.000604865186465401,0.0014918954992428138
0.00013964251470319488,0.000188315818755027,0.00025958172223020093,-8.20955441778261e-06,0.0018428983052972056,0.0012370523382390294,0.0006076543399533474,0.0014982275635280027
0.00014027515913638783,0.00018913875762561645,0.0002607491846931253,-8.209641308997957e-06,0.001850667995221684,0.0012423895638242735,0.0006104161449553969,0.0015044944636850664
0.0001409014495035872,0.00018995342011142514,0.0002619050461257812,-8.209698677463722e-06,0.0018583590839269617,0.0012476731573351182,0.0006131507544408143,0.0015106966269953866
