E1,E2,E3,E4,P1,P2,P3,P4
4.703108701686776e-05,6.63321495694126e-05,8.882329996193502e-05,-6.2723950434989085e-06,0.0006751582887073376,0.0004428502225245606,0.00020601495364464694,0.0005488980024424638
4.815978412593126e-05,6.785587249653565e-05,9.09173132646842e-05,-6.341200664678208e-06,0.0006900928339078911,0.00045285774584608957,0.0002109100468040349,0.0005610706486180992
4.9290275031032166e-05,6.938045411664787e-05,9.301390218853271e-05,-6.408231662324589e-06,0.0007050218825977451,0.00046286711173537366,0.00021581215270784294,0.0005732390591717896
5.0422225047355764e-05,7.090548164822033e-05,9.511247152886061e-05,-6.473514003855279e-06,0.00071994172566363,0.00047287571310141433,0.00022071986230564122,0.0005854001663198359
5.1555309855678e-05,7.243055426810794e-05,9.72124438171246e-05,-6.537071882033718e-06,0.0007348487536891868,0.00048288101563498696,0.00022563180891351927,0.0005975509858714577
5.268921550236553e-05,7.395528311154904e-05,9.931325932085819e-05,-6.598927714969553e-06,0.0007497394569549677,0.0004928805578086407,0.00023054666821408515,0.0006096886172287925
5.382363839937562e-05,7.547929127216568e-05,0.00010141437604367152,-6.6591021461186425e-06,0.0007646104254384353,0.0005028719508766981,0.00023546315825646614,0.0006218102433868963
5.4958285324256224e-05,7.70022138019635e-05,0.00010351526972525159,-6.717614044283051e-06,0.0007794583488139638,0.0005128528788752559,0.00024038003945630796,0.0006339131309337432
5.609287342014596e-05,7.852369771133182e-05,0.00010561543384136206,-6.7744805036110566e-06,0.0007942800164528383,0.0005228210986221848,0.0002452961145957756,0.0006459946300502249
5.722713019577412e-05,8.004340196904353e-05,0.00010771437960384328,-6.829716843597145e-06,0.0008090723174232547,0.000532774439717129,0.0002502102288235529,0.0006580521745101521
5.83607935254606e-05,8.156099750225514e-05,0.00010981163596061236,-6.883336609082011e-06,0.0008238322404903192,0.0005427108045415062,0.00025512126965484237,0.0006700832816802529
5.949361164911605e-05,8.307616719650683e-05,0.00011190674959566316,-6.9353515702525615e-06,0.0008385568741160499,0.0005526281682585085,0.0002600281669713657,0.0006820855525201745
6.062534317224172e-05,8.458860589572237e-05,0.00011399928492906625,-6.985771722641909e-06,0.0008532434064593759,0.0005625245788131017,0.00026492989302136325,0.0006940566715824812
6.175575706592954e-05,8.609802040220914e-05,0.00011608882411696894,-7.034605287129375e-06,0.0008678891253761362,0.000572398156932025,0.0002698254624195942,0.0007059944070126564
6.28846326668621e-05,8.760412947665822e-05,0.00011817496705159524,-7.081858709940497e-06,0.000882491418419082,0.0005822470961237919,0.00027471393214733685,0.0007178966105491011
6.401175967731267e-05,8.910666383814419e-05,0.00012025733136124595,-7.127536662647013e-06,0.0008970477728378744,0.0005920696626786892,0.0002795944015523882,0.0007297612175231345
6.513693816514516e-05,9.060536616412539e-05,0.00012233555241029844,-7.17164204216688e-06,0.0009115557755790865,0.0006018641956687782,0.0002844660123490642,0.0007415862468589942
