E1,E2,E3,E4
4.069091449514209e-05,5.108374562082713e-05,7.276046459919923e-05,2.0784918788655292e-06
4.2004533911913914e-05,5.273291717459241e-05,7.510930784102558e-05,2.1454737309813866e-06
4.332341477362913e-05,5.4388697326636045e-05,7.746755338421227e-05,2.21271494968387e-06
4.4647140796820845e-05,5.6050563584741735e-05,7.983445667350056e-05,2.280193957030644e-06
4.597530094818253e-05,5.77180000426989e-05,8.220928254988347e-05,2.3478894571978324e-06
4.730748944456806e-05,5.939049738030279e-05,8.459130525060563e-05,2.4157804364800216e-06
4.8643305752991686e-05,6.10675528633544e-05,8.697980840916343e-05,2.4838461632902614e-06
4.998235459062808e-05,6.274867034366053e-05,8.937408505530509e-05,2.5520661881600637e-06
5.1324245924812265e-05,6.443336025903378e-05,9.177343761503037e-05,2.620420343739401e-06
5.2668594973039686e-05,6.612113963329249e-05,9.417717791059088e-05,2.6888887447967095e-06
5.401502220296617e-05,6.781153207626082e-05,9.658462716048992e-05,2.7574517882188876e-06
5.536315333240792e-05,6.950406778376871e-05,9.899511597948246e-05,2.826090153011295e-06
5.671261932934155e-05,7.119828353765187e-05,0.00010140798437857523,2.894784800297753e-06
5.806305641190408e-05,7.289372270575179e-05,0.00010382258176502672,2.963516973320548e-06
5.941410604839287e-05,7.458993524191577e-05,0.00010623826694234705,3.0322681974404253e-06
6.0765414957265704e-05,7.628647768599686e-05,0.00010865440811029813,3.1010202801365937e-06
6.211663510714075e-05,7.798291316385389e-05,0.0001110703828648935,3.1697553110067237e-06
6.346742371679659e-05,7.967881138735153e-05,0.00011348557819839857,3.23845566176695e-06
6.481744325517218e-05,8.13737486543602e-05,0.00011589939049933032,3.3071039862518677e-06
6.616636144136682e-05,8.306730784875603e-05,0.00011831122555245753,3.375683220414533e-06
6.751385124464029e-05,8.475907844042109e-05,0.00012072049853880069,3.4441765823264668e-06
6.88595908844127e-05,8.64486564852431e-05,0.00012312663403563203,3.51256757217765e-06
7.020326383026457e-05,8.813564462511561e-05,0.00012552906601647536,3.5808399722765273e-06
7.154455880193676e-05,8.981965208793797e-05,0.0001279272378511064,3.6489778470500045e-06
7.288316976933066e-05,9.150029468761531e-05,0.0001303206023055525,3.7169655430434505e-06
7.42187959525079e-05,9.31771948240585e-05,0.00013270862154209274,3.7847876889206964e-06
7.555114182169055e-05,9.484998148318421e-05,0.00013509076711925788,3.852429195464033e-06
7.687991709726114e-05,9.651829023691493e-05,0.00013746651999183045,3.919875255574217e-06
7.820483674976247e-05,9.818176324317892e-05,0.0001398353705108447,3.987111344270466e-06
7.952562099989782e-05,9.984004924591021e-05,0.00014219681842358658,4.054123218690456e-06
8.084199531853084e-05,0.00010149280357504861,0.00014455037287359373,4.120896918090332e-06
8.215369042668555e-05,0.00010313968814653973,0.0001468955524006556,4.187418763844698e-06
8.34604422955464e-05,0.00010478037146233495,0.00014923188494081325,4.2536753594466164e-06
8.476199214645817e-05,0.00010641452861039144,0.00015155890782635948,4.3196535905076174e-06
8.60580864509261e-05,0.00010804184126467212,0.00015387616778583896,4.38534062475769e-06
8.734847693061579e-05,0.00010966199768514577,0.0001561832209440479,4.45072391204529e-06
8.86329205573532e-05,0.0001112746927177869,0.00015847963282203422,4.515791184337328e-06
8.991117955312476e-05,0.00011287962779457582,0.00016076497833709768,4.580530455719182e-06
9.118304164159836e-05,0.00011447653641182039,0.0001630388779360667,4.64493091380084e-06
9.244847647034302e-05,0.00011606538078016233,0.00016530127689626226,4.708990184442497e-06
9.370744660596139e-05,0.00011764611395582103,0.00016755210821783753,4.772706230634015e-06
9.495989782858804e-05,0.00011921866785521206,0.00016979127498052056,4.83607633146208e-06
9.620577623834466e-05,0.00012078297479526219,0.0001720186808381515,4.899097785527238e-06
9.744502825533993e-05,0.0001223389674934093,0.0001742342300186826,4.961767910943899e-06
9.867760061966946e-05,0.0001238865790676024,0.00017643782732417796,5.024084045340325e-06
9.99034403914159e-05,0.00012542574303630168,0.0001786293781308139,5.086043545858644e-06
0.00010112249495064897,0.00012695639331847838,0.00018080878838887864,5.147643789154842e-06
0.00010233471199742525,0.000128478464233615,0.00018297596462277244,5.208882171398763e-06
0.00010354003955178841,0.00012999189050170502,0.0001851308139310076,5.269756108274113e-06
0.00010473842595376916,0.0001314966072432532,0.00018727324398620852,5.3302630349784586e-06
0.00010592981986338508,0.00013299254997927535,0.00018940316303511155,5.390400406223222e-06
