background_input/bI_definition/backgrndI_strengths,E3b,PV3b,SST3b,VIP3b,thalE,thalI,stability,bifurcation
-0.16117024812,1.3307307417229994,26.141489534322996,-2.168366794386999,-6.636245475757,0.0,0.0,True,RG
-0.16194150754,1.3306970180949995,26.141298347194994,-2.1684051752849998,-6.636345013485,0.0,0.0,True,RG
-0.16271276564,1.3306632937630014,26.141107155963002,-2.168443556357,-6.636444551217,0.0,0.0,True,RG
-0.16348402242,1.3306295660279994,26.140915959627996,-2.168481938812001,-6.636544089151999,0.0,0.0,True,RG
-0.16425527787,1.3305958396900008,26.140724759989997,-2.1685203224400005,-6.636643627090001,0.0,0.0,True,RG
-0.165026532,1.3305621108490004,26.140533555549,-2.1685587063410017,-6.6367431650310005,0.0,0.0,True,RG
-0.16579778481,1.330528380403998,26.140342346703996,-2.1685970905159992,-6.636842702875999,0.0,0.0,True,RG
-0.1665690363,1.3304946495569994,26.140151133757,-2.1686354760630007,-6.636942240922999,0.0,0.0,True,RG
-0.16734028646,1.330460917105998,26.139959916806,-2.1686738616940007,-6.637041779074002,0.0,0.0,True,RG
-0.1681115353,1.3304271831509988,26.139768695650996,-2.168712247699,-6.637141317129,0.0,0.0,True,RG
-0.16888278282,1.3303934475939996,26.139577469194002,-2.1687506347760004,-6.6372408552860005,0.0,0.0,True,RG
-0.16965402901,1.3303597125339985,26.139386238834,-2.168789023225998,-6.637340393446,0.0,0.0,True,RG
-0.17042527388,1.330325974969999,26.139195004269993,-2.16882741105,-6.6374399315099994,0.0,0.0,True,RG
-0.17119651743,1.3302922359040013,26.139003765503997,-2.1688658009560005,-6.637539469776001,0.0,0.0,True,RG
-0.17196775966,1.330258496234001,26.138812522734003,-2.1689041901360007,-6.6376390080459995,0.0,0.0,True,RG
-0.17273900056,1.3302247549619992,26.138621274761995,-2.1689425806879994,-6.637738546318,0.0,0.0,True,RG
-0.17351024014,1.330191013285999,26.138430023586,-2.168980972414,-6.637838084894001,0.0,0.0,True,RG
-0.17428147839,1.3301572690080001,26.138238767308,-2.1690193644219997,-6.637937623172,0.0,0.0,True,RG
-0.17505271532,1.330123524226,26.138047507026002,-2.1690577565940004,-6.638037161654,0.0,0.0,True,RG
-0.17582395093,1.3300897789420014,26.137856241541996,-2.169096150148,-6.638136700138,0.0,0.0,True,RG
-0.17659518521,1.3300560310549985,26.137664972754997,-2.1691345438750003,-6.638236238524999,0.0,0.0,True,RG
-0.17736641817,1.3300222827650012,26.137473699065,-2.169172938884999,-6.638335777114999,0.0,0.0,True,RG
-0.17813764981,1.3299885328719985,26.137282421172,-2.169211334158,-6.638435315708,0.0,0.0,True,RG
-0.17890888012,1.3299547823759992,26.137091139076,-2.1692497297139997,-6.638534854203999,0.0,0.0,True,RG
-0.17968010911,1.3299210303780014,26.136899852878003,-2.1692881264420003,-6.638634392902,0.0,0.0,True,RG
-0.18045133677,1.3298872758770017,26.136708562576995,-2.1693265235430017,-6.638733931703001,0.0,0.0,True,RG
-0.18122256311,1.329853521772998,26.136517267073,-2.1693649217170003,-6.6388334704070004,0.0,0.0,True,RG
-0.18199378813,1.3298197662659985,26.136325967466004,-2.1694033202640006,-6.638933009114,0.0,0.0,True,RG
-0.18276501182,1.3297860091569982,26.136134663856996,-2.1694417190929998,-6.639032547923,0.0,0.0,True,RG
-0.18353623418,1.3297522505459998,26.135943355945994,-2.1694801191939996,-6.639132086834,0.0,0.0,True,RG
-0.18430745523,1.3297184914309994,26.135752044031,-2.1695185204690013,-6.639231625748999,0.0,0.0,True,RG
-0.18507867494,1.329684730713999,26.135560726914,-2.169556922025999,-6.639331164766,0.0,0.0,True,RG
-0.18584989333,1.329650969494998,26.135369405594997,-2.1695953237449994,-6.639430703585,0.0,0.0,True,RG
-0.1866211104,1.3296172056730013,26.135178080273004,-2.1696337258470013,-6.639530242707,0.0,0.0,True,RG
-0.18739232614,1.3295834413490002,26.134986750748997,-2.169672129220999,-6.639629781631,0.0,0.0,True,RG
-0.18816354056,1.3295496756219989,26.134795417021998,-2.169710533868,-6.639729320758001,0.0,0.0,True,RG
-0.18893475365,1.3295159091920012,26.134604078192,-2.1697489385880018,-6.6398288598879995,0.0,0.0,True,RG
